x,y,cov_xx,cov_xy,cov_yx,cov_yy,prb_exst,prb_blu,prb_yel,prb_or,prb_OR,prb_unk
0,1.5,0.2,0.2,0.2,0.2,1,0,0,1,0,0
10.625,1.5,0.2,0.2,0.2,0.2,1,0,1,0,0,0
13.543,2.08,0.2,0.2,0.2,0.2,1,0,1,0,0,0
16.017,3.733,0.2,0.2,0.2,0.2,1,0,1,0,0,0
17.67,6.207,0.2,0.2,0.2,0.2,1,0,1,0,0,0
18.25,9.125,0.2,0.2,0.2,0.2,1,0,1,0,0,0
17.67,12.043,0.2,0.2,0.2,0.2,1,0,1,0,0,0
16.017,14.517,0.2,0.2,0.2,0.2,1,0,1,0,0,0
13.543,16.17,0.2,0.2,0.2,0.2,1,0,1,0,0,0
10.625,16.75,0.2,0.2,0.2,0.2,1,0,1,0,0,0
7.707,16.17,0.2,0.2,0.2,0.2,1,0,1,0,0,0
5.233,14.517,0.2,0.2,0.2,0.2,1,0,1,0,0,0
3.58,12.043,0.2,0.2,0.2,0.2,1,0,1,0,0,0
3,9.125,0.2,0.2,0.2,0.2,1,0,1,0,0,0
3.58,6.207,0.2,0.2,0.2,0.2,1,0,1,0,0,0
5.233,3.733,0.2,0.2,0.2,0.2,1,0,1,0,0,0
7.707,2.08,0.2,0.2,0.2,0.2,1,0,1,0,0,0
0,-1.5,0.2,0.2,0.2,0.2,1,0,0,1,0,0
10.625,-1.5,0.2,0.2,0.2,0.2,1,1,0,0,0,1
13.543,-2.08,0.2,0.2,0.2,0.2,1,1,0,0,0,1
16.017,-3.733,0.2,0.2,0.2,0.2,1,1,0,0,0,1
17.67,-6.207,0.2,0.2,0.2,0.2,1,1,0,0,0,1
18.25,-9.125,0.2,0.2,0.2,0.2,1,1,0,0,0,1
17.67,-12.043,0.2,0.2,0.2,0.2,1,1,0,0,0,1
16.017,-14.517,0.2,0.2,0.2,0.2,1,1,0,0,0,1
13.543,-16.17,0.2,0.2,0.2,0.2,1,1,0,0,0,1
10.625,-16.75,0.2,0.2,0.2,0.2,1,1,0,0,0,1
7.707,-16.17,0.2,0.2,0.2,0.2,1,1,0,0,0,1
5.233,-14.517,0.2,0.2,0.2,0.2,1,1,0,0,0,1
3.58,-12.043,0.2,0.2,0.2,0.2,1,1,0,0,0,1
3,-9.125,0.2,0.2,0.2,0.2,1,1,0,0,0,1
3.58,-6.207,0.2,0.2,0.2,0.2,1,1,0,0,0,1
5.233,-3.733,0.2,0.2,0.2,0.2,1,1,0,0,0,1
7.707,-2.08,0.2,0.2,0.2,0.2,1,1,0,0,0,1
20.442,5.059,0.2,0.2,0.2,0.2,1,1,0,0,0,1
21.25,9.125,0.2,0.2,0.2,0.2,1,1,0,0,0,1
20.442,13.191,0.2,0.2,0.2,0.2,1,1,0,0,0,1
18.138,16.638,0.2,0.2,0.2,0.2,1,1,0,0,0,1
14.691,18.942,0.2,0.2,0.2,0.2,1,1,0,0,0,1
10.625,19.75,0.2,0.2,0.2,0.2,1,1,0,0,0,1
6.559,18.942,0.2,0.2,0.2,0.2,1,1,0,0,0,1
3.112,16.638,0.2,0.2,0.2,0.2,1,1,0,0,0,1
0.808,13.191,0.2,0.2,0.2,0.2,1,1,0,0,0,1
0,9.125,0.2,0.2,0.2,0.2,1,1,0,0,0,1
0.808,5.059,0.2,0.2,0.2,0.2,1,1,0,0,0,1
20.442,-5.059,0.2,0.2,0.2,0.2,1,0,1,0,0,0
21.25,-9.125,0.2,0.2,0.2,0.2,1,0,1,0,0,0
20.442,-13.191,0.2,0.2,0.2,0.2,1,0,1,0,0,0
18.138,-16.638,0.2,0.2,0.2,0.2,1,0,1,0,0,0
14.691,-18.942,0.2,0.2,0.2,0.2,1,0,1,0,0,0
10.625,-19.75,0.2,0.2,0.2,0.2,1,0,1,0,0,0
6.559,-18.942,0.2,0.2,0.2,0.2,1,0,1,0,0,0
3.112,-16.638,0.2,0.2,0.2,0.2,1,0,1,0,0,0
0.808,-13.191,0.2,0.2,0.2,0.2,1,0,1,0,0,0
0,-9.125,0.2,0.2,0.2,0.2,1,0,1,0,0,0
0.808,-5.059,0.2,0.2,0.2,0.2,1,0,1,0,0,0
21.25,1.5,0.2,0.2,0.2,0.2,1,0,0,1,0,0
21.25,-1.5,0.2,0.2,0.2,0.2,1,0,0,1,0,0
